Year,FB%,SL%,CT%,CB%,CH%,SF%,KN%
2014,0.45,0,0.25,0.16,0.11,0.03,0
2014,0.33,0,0.35,0.27,0,0.05,0
2014,0.5,0.11,0.13,0.12,0.09,0.06,0
2014,0.49,0.27,0,0.14,0,0.1,0
2014,0.59,0.22,0,0.08,0,0.12,0
2014,0.55,0.21,0.12,0,0,0.12,0
2014,0.59,0.21,0,0.03,0.04,0.13,0
2014,0.58,0.15,0,0.13,0,0.14,0
2014,0.54,0.23,0,0.08,0,0.15,0
2014,0.35,0,0.4,0.1,0,0.16,0
2014,0.59,0,0.13,0.11,0,0.17,0
2014,0.71,0.07,0,0,0.04,0.19,0
2014,0.52,0.17,0,0.1,0,0.21,0
2014,0.41,0.22,0.06,0.06,0.01,0.25,0
2014,0.45,0.22,0.02,0.04,0,0.27,0
2014,0.48,0.2,0,0.03,0,0.28,0
2014,0.65,0,0.21,0.14,0,0,0
2014,0.82,0.18,0,0,0,0,0
2014,0.64,0.3,0,0.06,0.01,0,0
2014,0.68,0.22,0,0.1,0.01,0,0
2014,0.55,0.29,0,0.14,0.01,0,0
2014,0.56,0.25,0,0.19,0.01,0,0
2014,0.62,0,0.14,0.24,0.01,0,0
2014,0.79,0.1,0,0.08,0.02,0,0
2014,0.72,0,0.06,0.19,0.02,0,0
2014,0.41,0,0.3,0.28,0.02,0,0
2014,0.7,0.19,0,0.08,0.03,0,0
2014,0.63,0.25,0,0.09,0.03,0,0
2014,0.64,0.24,0,0.1,0.03,0,0
2014,0.5,0,0.31,0.16,0.03,0,0
2014,0.6,0.15,0,0.22,0.03,0,0
2014,0.59,0.32,0,0.05,0.04,0,0
2014,0.52,0,0.28,0.16,0.04,0,0
2014,0.7,0,0,0.26,0.04,0,0
2014,0.52,0,0.15,0.29,0.04,0,0
